Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201905,May 2019,6,1,2,Exports,752,Sweden,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,187291,,,0
HS,2019,201905,May 2019,6,1,2,Exports,752,Sweden,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,32083,,,0
HS,2019,201905,May 2019,6,1,2,Exports,752,Sweden,,352,Iceland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22292,,,0
HS,2019,201905,May 2019,6,1,2,Exports,752,Sweden,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,265728,,,0
HS,2019,201905,May 2019,6,1,2,Exports,752,Sweden,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,277812,,,0
HS,2019,201901,January 2019,6,1,1,Imports,752,Sweden,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,78157,,,0
HS,2019,201906,June 2019,6,1,2,Exports,752,Sweden,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,248487,,,0
HS,2019,201906,June 2019,6,1,2,Exports,752,Sweden,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3293,,,0
HS,2019,201902,February 2019,6,1,2,Exports,752,Sweden,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,106603,,,0
HS,2019,201904,April 2019,6,1,2,Exports,752,Sweden,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6004,,,0
HS,2019,201908,August 2019,6,1,2,Exports,752,Sweden,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,605648,,,0
HS,2019,201904,April 2019,6,1,1,Imports,752,Sweden,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,317774,,,0
HS,2019,201903,March 2019,6,1,2,Exports,752,Sweden,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,418615,,,0
HS,2019,201911,November 2019,6,1,1,Imports,752,Sweden,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9293,,14072659,,,0
HS,2019,201911,November 2019,6,1,2,Exports,752,Sweden,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,480,,377504,,,0
HS,2019,201911,November 2019,6,1,2,Exports,752,Sweden,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,51676,,,0
HS,2019,201911,November 2019,6,1,2,Exports,752,Sweden,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,292,,230051,,,0
HS,2019,201911,November 2019,6,1,2,Exports,752,Sweden,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1902,,1495696,,,0
HS,2019,201911,November 2019,6,1,1,Imports,752,Sweden,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3528,,,0
HS,2019,201911,November 2019,6,1,1,Imports,752,Sweden,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,285,,432189,,,0
HS,2019,201911,November 2019,6,1,1,Imports,752,Sweden,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,7367,,,0
