Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,357,,,0
HS,2019,201901,January 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,357,,,0
HS,2019,201911,November 2019,6,1,1,Imports,807,TFYR of Macedonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,159754,,,0
HS,2019,201909,September 2019,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,709,,,0
HS,2019,201908,August 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,187,,200151,,,0
HS,2019,201908,August 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,995,,,0
HS,2019,201908,August 2019,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,186,,199156,,,0
HS,2019,201903,March 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,908,,192000,,,0
HS,2019,201903,March 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,963,,198589,,,0
HS,2019,201907,July 2019,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1,,,0
HS,2019,201907,July 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,243617,,,0
HS,2019,201907,July 2019,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,462,,243616,,,0
HS,2019,201906,June 2019,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,60506,,,0
HS,2019,201906,June 2019,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,11870,,,0
HS,2019,201906,June 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,142226,,,0
HS,2019,201906,June 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,330,,69849,,,0
HS,2019,201904,April 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1147,,1872687,,,0
HS,2019,201904,April 2019,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,564,,,0
HS,2019,201904,April 2019,6,1,1,Imports,807,TFYR of Macedonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,474,,947269,,,0
HS,2019,201910,October 2019,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,87381,,,0
HS,2019,201910,October 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1037,,901359,,,0
HS,2019,201910,October 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1165,,996277,,,0
HS,2019,201910,October 2019,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,7537,,,0
HS,2019,201911,November 2019,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,432,,181587,,,0
HS,2019,201911,November 2019,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,471,,345220,,,0
HS,2019,201911,November 2019,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,3879,,,0
HS,2019,201903,March 2019,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,6589,,,0
HS,2019,201904,April 2019,6,1,1,Imports,807,TFYR of Macedonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,348,,202986,,,0
HS,2019,201904,April 2019,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,721868,,,0
HS,2019,201912,December 2019,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,217,,862541,,,0
