Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1570342,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,285,,259057,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,7970,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,875,,129360,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,33,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,68,,,0
HS,2019,201902,February 2019,6,1,2,Exports,764,Thailand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,10,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1577,,1023605,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1581,,1292262,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1097,,287866,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,2412,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,848,,447004,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5164,,1256920,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,286716,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1002,,3403078,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10711,,1483970,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10765,,958402,,,0
HS,2019,201902,February 2019,6,1,1,Imports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32844,,10456552,,,0
HS,2019,201902,February 2019,6,1,4,Re-imports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,170,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,293162,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,10,,,0
HS,2019,201901,January 2019,6,1,1,Imports,764,Thailand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4198,,884805,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,99,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1167,,168162,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,101,,,0
HS,2019,201901,January 2019,6,1,2,Exports,764,Thailand,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,3473,,,0
HS,2019,201901,January 2019,6,1,1,Imports,764,Thailand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2845,,,0
HS,2019,201901,January 2019,6,1,1,Imports,764,Thailand,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,5699,,,0
