Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,6,1,1,Imports,792,Turkey,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,5826,,,0
HS,2019,201908,August 2019,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13047,,2213982,,,0
HS,2019,201909,September 2019,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13912,,7005592,,,0
HS,2019,201909,September 2019,6,1,1,Imports,792,Turkey,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2923,,5413983,,,0
HS,2019,201909,September 2019,6,1,1,Imports,792,Turkey,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25629,,3811016,,,0
HS,2019,201909,September 2019,6,1,1,Imports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20506,,9036881,,,0
HS,2019,201909,September 2019,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6731,,,0
HS,2019,201909,September 2019,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6731,,,0
HS,2019,201905,May 2019,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,4422,,,0
HS,2019,201904,April 2019,6,1,1,Imports,792,Turkey,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2068,,1237324,,,0
