Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201907,July 2019,6,1,1,Imports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7338,,21124270,,,0
HS,2019,201903,March 2019,6,1,1,Imports,842,United States of America,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,214,,210538,,,0
HS,2019,201903,March 2019,6,1,1,Imports,842,United States of America,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15867,,149098589,,,0
HS,2019,201903,March 2019,6,1,1,Imports,842,United States of America,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,167,,592026,,,0
HS,2019,201903,March 2019,6,1,1,Imports,842,United States of America,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101734,,414494392,,,0
HS,2019,201903,March 2019,6,1,1,Imports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11296,,22470832,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,196,,4956462,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,819,,23974,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,93436,,,0
HS,2019,201907,July 2019,6,1,3,Re-exports,842,United States of America,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3048,,9566092,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,14307,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,10940,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,3008,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,393,,50130,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,537,,12002,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,4397,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,842,United States of America,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,14263,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36113,,6437626,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26217,,1013458,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6946,,13123666,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,639,,12739,,,0
HS,2019,201908,August 2019,6,1,1,Imports,842,United States of America,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,155,,456694,,,0
HS,2019,201908,August 2019,6,1,1,Imports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1625,,1498612,,,0
HS,2019,201908,August 2019,6,1,1,Imports,842,United States of America,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36029,,32175886,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,456,,74749,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15419,,3512578,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132276,,59766504,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,268,,148149,,,0
HS,2019,201908,August 2019,6,1,2,Exports,842,United States of America,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156318,,55770903,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1524,,4506627,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,23117,,,0
HS,2019,201907,July 2019,6,1,2,Exports,842,United States of America,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2543,,289842,,,0
HS,2019,201911,November 2019,6,1,1,Imports,842,United States of America,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12102,,84006366,,,0
HS,2019,201911,November 2019,6,1,1,Imports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5986,,9526318,,,0
HS,2019,201911,November 2019,6,1,3,Re-exports,842,United States of America,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,184,,605903,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,35231,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35773,,2101792,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31462,,10068057,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,125235,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3257,,281333,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,192,,89072,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50239,,16635364,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10017,,7513303,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80503,,42729391,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1629,,379720,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,308,,44993,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6548,,6771995,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,660,Anguilla,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,18623,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,442,Luxembourg,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2300,,522928,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1421,,425465,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,6925,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13480,,1077938,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,854,Burkina Faso,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6214,,696320,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,210,,24146,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4106,,340875,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,291,,25931,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1450,,131340,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,155,,40663,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2913,,820868,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,3441,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,180,Dem.Rep. of the Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,11305,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,818,,846499,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,424,,353137,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,136,Cayman Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,20250,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,340,Honduras,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,328,,111799,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,18612,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4908,,7665679,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3262,,269287,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34683,,29527851,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,60,Bermuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,8465,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3061,,1087528,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36082,,5675514,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,297,,18884,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,438,,182862,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,351527,,157487306,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4389,,19923654,,,0
HS,2019,201911,November 2019,6,1,3,Re-exports,842,United States of America,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36780,,21686854,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9815,,847367,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,4700,,,0
HS,2019,201911,November 2019,6,1,3,Re-exports,842,United States of America,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,4700,,,0
HS,2019,201911,November 2019,6,1,2,Exports,842,United States of America,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2964,,,0
HS,2019,201906,June 2019,6,1,2,Exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6482,,13083685,,,0
HS,2019,201911,November 2019,6,1,3,Re-exports,842,United States of America,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4131,,10668643,,,0
HS,2019,201911,November 2019,6,1,3,Re-exports,842,United States of America,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,6925,,,0
