Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2665,,236497,,,0
HS,2019,201901,January 2019,6,1,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18500,,11381,,,0
HS,2019,201901,January 2019,6,1,2,Exports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18500,,11381,,,0
HS,2019,201901,January 2019,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,176,,31416,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10995,,10105862,,,0
HS,2019,201903,March 2019,6,1,2,Exports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11000,,9913,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5419,,976776,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,549,,5047,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20025,,11554565,,,0
HS,2019,201903,March 2019,6,1,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11000,,9913,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1844,,303604,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1202,,41473,,,0
HS,2019,201903,March 2019,6,1,1,Imports,800,Uganda,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,121804,,,0
HS,2019,201901,January 2019,6,1,1,Imports,800,Uganda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2441,,204294,,,0
HS,2019,201901,January 2019,6,1,1,Imports,800,Uganda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,786,,,0
HS,2019,201902,February 2019,6,1,1,Imports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10710,,2504329,,,0
HS,2019,201902,February 2019,6,1,1,Imports,800,Uganda,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,49,,,0
HS,2019,201902,February 2019,6,1,1,Imports,800,Uganda,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9090,,2331787,,,0
HS,2019,201902,February 2019,6,1,1,Imports,800,Uganda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,403,,114253,,,0
HS,2019,201902,February 2019,6,1,1,Imports,800,Uganda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1167,,58240,,,0
