Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1897,,324610,,,0
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1279,,,0
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2049,,484580,,,0
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6691,,,0
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,74290,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,973,,1096300,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,523,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1702,,1251979,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1968,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,116,,246068,,,0
HS,2019,201907,July 2019,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,3107,,,0
HS,2019,201908,August 2019,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,77710,,,0
