Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,860,,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,425192,,,0
HS,2019,201901,January 2019,6,1,1,Imports,860,,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,7410,,,0
HS,2019,201901,January 2019,6,1,1,Imports,860,,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,33000,,,0
HS,2019,201901,January 2019,6,1,1,Imports,860,,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,382262,,,0
HS,2019,201901,January 2019,6,1,1,Imports,860,,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,2520,,,0
HS,2019,201902,February 2019,6,1,1,Imports,860,,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10980,,5480320,,,0
HS,2019,201902,February 2019,6,1,1,Imports,860,,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9870,,4455608,,,0
HS,2019,201902,February 2019,6,1,1,Imports,860,,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,26712,,,0
HS,2019,201902,February 2019,6,1,1,Imports,860,,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,720,,900000,,,0
HS,2019,201902,February 2019,6,1,1,Imports,860,,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,360,,98000,,,0
HS,2019,201903,March 2019,6,1,1,Imports,860,,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4250,,1947606,,,0
HS,2019,201903,March 2019,6,1,1,Imports,860,,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3600,,1598190,,,0
HS,2019,201903,March 2019,6,1,1,Imports,860,,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,229,,,0
HS,2019,201903,March 2019,6,1,1,Imports,860,,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,650,,349187,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1895,,2069039,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,4123,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,33390,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1483,,1488200,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,529980,,,0
HS,2019,201904,April 2019,6,1,1,Imports,860,,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,13000,,,0
