Reporter,Trade Value (US$),Year
,sum,
USA,4869975839,2017
Belgium,4152214149,2017
United Kingdom,2082966657,2017
France,1055041985,2017
Germany,902588399,2017
Brazil,642952716,2017
Poland,636811876,2017
Canada,482261899,2017
China,474485077,2017
Italy,468344628,2017
Japan,409136468,2017
Spain,403709951,2017
Netherlands,355985358,2017
Australia,332733183,2017
Rep. of Korea,304826393,2017
Turkey,231312964,2017
India,221393895,2017
Philippines,194676450,2017
Pakistan,180843558,2017
South Africa,155968531,2017
Argentina,151199790,2017
Ireland,148820981,2017
Russian Federation,125154661,2017
United Arab Emirates,115761895,2017
Thailand,112640494,2017
"China, Hong Kong SAR",111682174,2017
Kazakhstan,108861408,2017
Saudi Arabia,106256293,2017
Colombia,105401196,2017
Indonesia,101425350,2017
Switzerland,99163305,2017
Czech Rep.,95951341,2017
Greece,88761477,2017
Peru,80339220,2017
Romania,73326384,2017
Israel,73163000,2017
Portugal,69566027,2017
Sweden,63534308,2017
Hungary,62179832,2017
Malaysia,55394941,2017
Chile,51666392,2017
Kenya,42965035,2017
Ecuador,41820855,2017
Finland,37639478,2017
Austria,36794244,2017
Singapore,32732687,2017
Norway,32379248,2017
Egypt,30946400,2017
Jordan,30814746,2017
Angola,27868029,2017
Slovakia,26782180,2017
New Zealand,25778191,2017
Ukraine,25308131,2017
Denmark,22307653,2017
Mozambique,22172966,2017
Guatemala,21708202,2017
Bulgaria,21598351,2017
Kuwait,18551562,2017
Panama,17582902,2017
Honduras,16608431,2017
Bolivia,16126135,2017
Madagascar,15459383,2017
Belarus,14451400,2017
Latvia,13553251,2017
Algeria,13430800,2017
Lithuania,12850807,2017
Croatia,11031006,2017
El Salvador,10755559,2017
Rwanda,9438488,2017
Burundi,8237444,2017
Georgia,7637009,2017
Serbia,7014551,2017
Luxembourg,6737536,2017
Zimbabwe,6418574,2017
Slovenia,5968113,2017
Cyprus,5839673,2017
Myanmar,5077139,2017
Azerbaijan,4804723,2017
Mauritius,3674056,2017
Bahrain,3668290,2017
Kyrgyzstan,3529348,2017
Mongolia,3305140,2017
