Reporter,Partner,Trade Flow,Trade Value (US$),Netweight (kg),Value_Per_Kg
Angola,Belgium,Imports,5838092,10234.0,570.4604260308774
Angola,Brazil,Imports,76693,106.0,723.5188679245283
Angola,China,Imports,279710,116466.0,2.4016451153126233
Angola,Denmark,Imports,1024880,2637.0,388.65377322715204
Angola,France,Imports,848742,2439.0,347.98769987699876
Angola,India,Imports,2848776,190623.0,14.944555483860814
Angola,Israel,Imports,4080,4.0,1020.0
Angola,Namibia,Imports,9051,1323.0,6.841269841269841
Angola,Netherlands,Imports,228799,789.0,289.98605830164763
Angola,Portugal,Imports,1580419,4075.0,387.8328834355828
Angola,Rep. of Korea,Imports,1186796,3298.0,359.8532443905397
Angola,South Africa,Imports,390015,693.0,562.7922077922078
Angola,Spain,Exports,100,38.0,2.6315789473684212
Angola,United Arab Emirates,Imports,164227,1940.0,84.65309278350516
Angola,United Kingdom,Imports,5075,5.0,1015.0
Angola,United States of America,Imports,1903,7.0,271.85714285714283
Antigua and Barbuda,Barbados,Imports,5381,15.0,358.73333333333335
Antigua and Barbuda,Belgium,Imports,5300,60.0,88.33333333333333
Antigua and Barbuda,Canada,Imports,99,1.0,99.0
Antigua and Barbuda,France,Imports,40251,200.0,201.255
Antigua and Barbuda,Germany,Imports,250,2.0,125.0
Antigua and Barbuda,India,Imports,4237,17.0,249.23529411764707
Antigua and Barbuda,Rep. of Korea,Imports,365,3.0,121.66666666666667
Antigua and Barbuda,United States of America,Imports,22877,201.0,113.81592039800995
Argentina,Argentina,Imports,2324,6.0,387.3333333333333
Argentina,Australia,Imports,270571,1332.0,203.13138138138137
Argentina,Austria,Imports,394,1.0,394.0
Argentina,Belgium,Imports,15818817,33167.0,476.9444628697199
Argentina,Bolivia,Exports,4500,30.0,150.0
Argentina,Bulgaria,Imports,114855,621.0,184.95169082125605
Argentina,Canada,Imports,4148030,3394.0,1222.1655863288156
Argentina,China,Imports,610,2.0,305.0
Argentina,Cuba,Imports,962,1.0,962.0
Argentina,Dominican Rep.,Exports,12000,136.0,88.23529411764706
Argentina,France,Imports,13282549,45507.0,291.8792493462544
Argentina,Germany,Imports,519398,2160.0,240.46203703703705
Argentina,Guatemala,Exports,360,7.0,51.42857142857143
Argentina,India,Imports,3489433,28093.0,124.21005232620226
Argentina,Indonesia,Imports,52786,6.0,8797.666666666666
Argentina,Ireland,Imports,18293664,3541.0,5166.242304433776
Argentina,Italy,Imports,45196608,56566.0,799.0066117455715
Argentina,Netherlands,Imports,803751,235.0,3420.217021276596
Argentina,Paraguay,Exports,152004,1555.0,97.75176848874598
Argentina,Rep. of Korea,Imports,494509,3243.0,152.4850447116867
Argentina,Switzerland,Imports,1067392,1594.0,669.6311166875785
Argentina,United Kingdom,Imports,45,0.0,0.0
Argentina,United States of America,Imports,66999026,131305.0,510.25494840257414
Argentina,Uruguay,Exports,10890,19.0,573.1578947368421
Armenia,"Areas, nes",Imports,554,16.0,34.625
